ip,click date,Agency,product code,travel date,Continent,Country,City,Flight,Product type,Price,Travel Period,id
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Venice,AZ,P,1590000,8,18
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Veronese,AZ,P,1590000,8,19
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Sorrento,AZ,P,1590000,8,20
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Pompeii,AZ,P,1590000,8,21
39.******5.245,12/4/16,LT091,LT0917482AAAAZ,12/16/16,Europe,Italy,Florence,AZ,P,1590000,8,22
223******.96,12/4/16,KR,KR150201549KE,12/24/16,Europe,Netherlands,Amsterdam,KE,P,1690000,7,23
223******.96,12/4/16,KR,KR150201549KE,12/24/16,Europe,Germany,Cologne,KE,P,1690000,7,24
223******.96,12/4/16,KR,KR150201549KE,12/24/16,Europe,Germany,Aachen,KE,P,1690000,7,25
223******.96,12/4/16,KR,KR150201549KE,12/24/16,Europe,Luxembourg,Luxembourg,KE,P,1690000,7,26
223******.96,12/4/16,KR,KR150201549KE,12/24/16,Europe,Belgium,Brussels,KE,P,1690000,7,27
223******.96,12/4/16,KR,KR150201549KE,12/24/16,Europe,France,Paris,KE,P,1690000,7,28
222******9.73,12/4/16,HN,HNAVP100ZEA,1/26/17,Asia,Vietnam,Hanoi,ZEA,P,1249000,5,29
222******9.73,12/4/16,HN,HNAVP100ZEA,1/26/17,Asia,Vietnam,Halong Bay,ZEA,P,1249000,5,30
222******9.73,12/4/16,HN,HNAPP1005J2,1/26/17,Asia,Philippines,Manila,5J2,P,659000,4,31
121******6.233,12/4/16,HN,HNAPA113PR3,12/24/16,Asia,Philippines,Boracay,PR3,F,1117000,5,32
121******6.233,12/4/16,HN,HNAPA113PR3,12/27/16,Asia,Philippines,Boracay,PR3,F,1127000,5,33
121******6.233,12/4/16,HN,HNAPA113PR3,12/23/16,Asia,Philippines,Boracay,PR3,F,1057000,5,34
121******6.233,12/4/16,HN,HNAPA113PR3,12/24/16,Asia,Philippines,Boracay,PR3,F,1117000,5,35
121******6.233,12/4/16,HN,HNAPA113PR3,12/27/16,Asia,Philippines,Boracay,PR3,F,1127000,5,36
121******6.233,12/4/16,MD,MDAPE320PRM7,12/27/16,Asia,Philippines,Boracay,PRM7,P,989000,5,37
121******6.233,12/4/16,MD,MDAPE320PRM7,12/28/16,Asia,Philippines,Boracay,PRM7,P,1399000,5,38
121******6.233,12/4/16,MD,MDAPE320PRM7,12/26/16,Asia,Philippines,Boracay,PRM7,P,1209000,5,39
121******6.233,12/4/16,MD,MDAPE320PRM7,12/27/16,Asia,Philippines,Boracay,PRM7,P,989000,5,40
121******6.233,12/4/16,MD,MDAPE320PRM7,12/25/16,Asia,Philippines,Boracay,PRM7,P,989000,5,41
121******6.233,12/4/16,MD,MDAPE320PRM7,12/24/16,Asia,Philippines,Boracay,PRM7,P,989000,5,42
121******6.233,12/4/16,MD,MDAPE320PRM7,12/23/16,Asia,Philippines,Boracay,PRM7,P,969000,5,43
121******6.233,12/4/16,MD,MDAPE320PRM7,12/22/16,Asia,Philippines,Boracay,PRM7,P,939000,5,44
121******6.233,12/4/16,MD,MDAPE320PRM7,12/21/16,Asia,Philippines,Boracay,PRM7,P,919000,5,45
121******6.233,12/4/16,MD,MDAPE320PRM7,12/20/16,Asia,Philippines,Boracay,PRM7,P,839000,5,46
121******6.233,12/4/16,MD,MDAPE320PRM7,12/19/16,Asia,Philippines,Boracay,PRM7,P,929000,5,47
121******6.233,12/4/16,MD,MDAPE320PRM7,12/18/16,Asia,Philippines,Boracay,PRM7,P,909000,5,48
121******6.233,12/4/16,MD,MDAPE320PRM7,12/17/16,Asia,Philippines,Boracay,PRM7,P,749000,5,49
121******6.233,12/4/16,MD,MDAPE320PRM7,12/16/16,Asia,Philippines,Boracay,PRM7,P,749000,5,50
121******6.233,12/4/16,MD,MDAPE320PRM7,12/20/16,Asia,Philippines,Boracay,PRM7,P,839000,5,51
121******6.233,12/4/16,MD,MDAPE320PRM7,12/16/16,Asia,Philippines,Boracay,PRM7,P,749000,5,52
121******6.233,12/4/16,MD,MDAPE320PRM7,12/20/16,Asia,Philippines,Boracay,PRM7,P,839000,5,53
121******6.233,12/4/16,MD,MDAPE320PRM7,12/21/16,Asia,Philippines,Boracay,PRM7,P,919000,5,54
121******6.233,12/4/16,MD,MDAPE320PRM7,12/20/16,Asia,Philippines,Boracay,PRM7,P,839000,5,55
121******6.233,12/4/16,MD,MDAPE320PRM7,12/27/16,Asia,Philippines,Boracay,PRM7,P,989000,5,56
121******6.233,12/4/16,MD,MDAPE320PRM7,12/21/16,Asia,Philippines,Boracay,PRM7,P,919000,5,57
121******6.233,12/4/16,MD,MDAPE320PRM7,12/27/16,Asia,Philippines,Boracay,PRM7,P,989000,5,58
121******6.233,12/4/16,MD,MDAPE320PRM7,12/20/16,Asia,Philippines,Boracay,PRM7,P,839000,5,59
121******6.233,12/4/16,HN,HNABP100LJB,12/21/16,Asia,Thailand,Phuket,LJB,P,693000,5,60
121******6.233,12/4/16,HN,HNABP100LJB,12/16/16,Asia,Thailand,Phuket,LJB,P,653000,5,61
121******6.233,12/4/16,HN,HNABP100LJB,12/22/16,Asia,Thailand,Phuket,LJB,P,663000,5,62
121******6.233,12/4/16,HN,HNABP100LJB,12/23/16,Asia,Thailand,Phuket,LJB,P,693000,5,63
121******6.233,12/4/16,HN,HNABP100LJB,12/25/16,Asia,Thailand,Phuket,LJB,P,643000,5,64
121******6.233,12/4/16,HN,HNABP100LJB,12/26/16,Asia,Thailand,Phuket,LJB,P,693000,5,65
121******6.233,12/4/16,HN,HNABP100LJB,12/29/16,Asia,Thailand,Phuket,LJB,P,873000,5,66
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Danang,7C1O,P,599000,5,67
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Hoi An,7C1O,P,599000,5,68
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Hue,7C1O,P,599000,5,69
220******9.39,12/4/16,HN,HNABP100LJB,1/12/17,Asia,Thailand,Phuket,LJB,P,693000,5,70
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Danang,7C1O,P,599000,5,71
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Hoi An,7C1O,P,599000,5,72
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Hue,7C1O,P,599000,5,73
115******5.88,12/4/16,MD,MDAVP6037C1O,1/22/17,Asia,Vietnam,Danang,7C1O,P,599000,5,74
115******5.88,12/4/16,MD,MDAVP6037C1O,1/22/17,Asia,Vietnam,Hoi An,7C1O,P,599000,5,75
115******5.88,12/4/16,MD,MDAVP6037C1O,1/22/17,Asia,Vietnam,Hue,7C1O,P,599000,5,76
220******9.39,12/4/16,HN,HNABP100LJB,1/12/17,Asia,Thailand,Phuket,LJB,P,693000,5,77
220******9.39,12/4/16,HN,HNABP100LJB,1/12/17,Asia,Thailand,Phuket,LJB,P,693000,5,78
220******9.39,12/4/16,HN,HNABP100LJB,1/12/17,Asia,Thailand,Phuket,LJB,P,693000,5,79
220******9.39,12/4/16,MD,MDATP202OZ50,1/13/17,Asia,Thailand,Phuket,OZ50,P,689000,5,80
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Danang,7C1O,P,599000,5,81
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Hoi An,7C1O,P,599000,5,82
115******5.88,12/4/16,MD,MDAVP6037C1O,1/18/17,Asia,Vietnam,Hue,7C1O,P,599000,5,83
211******3.203,12/4/16,KR,KR1242015373PR,12/26/16,Asia,Philippines,Details,PR,P,749000,5,84
124******7.125,12/4/16,HN,HNCHA823ZE8,12/30/16,Asia,Hong Kong,Hong Kong,ZE8,F,742100,3,85
124******7.125,12/4/16,HN,HNCHA823ZE8,1/20/17,Asia,Hong Kong,Hong Kong,ZE8,F,661000,3,86
211******3.203,12/4/16,HN,HNABP100LJB,12/26/16,Asia,Thailand,Phuket,LJB,P,693000,5,87
58.******.37,12/4/16,HN,HNJKP500KEZ,12/13/16,Asia,Japan,Beppu,KEZ,P,699000,3,88
58.******.37,12/4/16,HN,HNJKP500KEZ,12/13/16,Asia,Japan,Oita,KEZ,P,699000,3,89
58.******.37,12/4/16,HN,HNJKP500KEZ,12/13/16,Asia,Japan,Yufuin,KEZ,P,699000,3,90
58.******.37,12/4/16,HN,HNJKP500KEZ,12/13/16,Asia,Japan,Fukuoka,KEZ,P,699000,3,91
58.******.37,12/4/16,HN,HNJKP500KEZ,12/13/16,Asia,Japan,Aso,KEZ,P,699000,3,92
211******2.93,12/4/16,JU,JUCIP112MU2,12/29/16,Asia,China,Jubu,MU2,P,449000,5,93
211******2.93,12/4/16,JU,JUCIP112MU2,12/29/16,Asia,China,Jinan,MU2,P,449000,5,94
211******2.93,12/4/16,JU,JUCIP112MU2,12/29/16,Asia,China,Qingdao,MU2,P,449000,5,95
211******2.93,12/4/16,JU,JUCIP112MU2,12/29/16,Asia,China,Imprisonment,MU2,P,449000,5,96
211******2.93,12/4/16,HN,HNAPP1005J2,12/28/16,Asia,Philippines,Manila,5J2,P,559000,4,97
211******2.93,12/4/16,HN,HNCHA823ZE8,12/28/16,Asia,Hong Kong,Hong Kong,ZE8,F,642100,3,98
211******2.93,12/4/16,JU,JUCFP234OZ3,1/2/17,Asia,China,Qingdao,OZ3,P,219000,3,99
211******2.93,12/4/16,JU,JUAVP2097C2,12/28/16,Asia,Vietnam,Hanoi,7C2,P,599000,5,100
211******2.93,12/4/16,JU,JUAVP2097C2,12/28/16,Asia,Vietnam,Halong Bay,7C2,P,599000,5,101
211******2.93,12/4/16,JU,JUCFP105MU2,12/28/16,Asia,China,Qingdao,MU2,P,299000,3,102
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,Monaco,Monaco,KE,P,2290000,9,103
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,Swiss,Interlaken,KE,P,2290000,9,104
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,France,Nice,KE,P,2290000,9,105
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,France,Paris,KE,P,2290000,9,106
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,Italy,Rome,KE,P,2290000,9,107
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,Italy,Milan,KE,P,2290000,9,108
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,Italy,Venice,KE,P,2290000,9,109
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,Italy,Pompeii,KE,P,2290000,9,110
211******6.36,12/4/16,KR,KR150201693KE,1/10/17,Europe,Italy,Florence,KE,P,2290000,9,111
211******2.93,12/4/16,KR,KR170201690OZ,12/28/16,Asia,China,Beijing,OZ,P,329000,4,112
211******2.93,12/4/16,BM,BM20151103215OZ,12/28/16,Asia,China,Shanghai,OZ,P,329000,4,113
211******2.93,12/4/16,BM,BM20151103215OZ,12/28/16,Asia,China,West Coast,OZ,P,329000,4,114
211******2.93,12/4/16,BM,BM20151103215OZ,12/28/16,Asia,China,Zhangjiajie,OZ,P,329000,4,115
112******89.83,12/4/16,HN,HNCHA823ZE8,12/19/16,Asia,Hong Kong,Hong Kong,ZE8,F,552100,3,116
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Swiss,Lucerne,AZ,P,1790000,8,117
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Swiss,Interlaken,AZ,P,1790000,8,118
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,France,Paris,AZ,P,1790000,8,119
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Rome,AZ,P,1790000,8,120
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Milan,AZ,P,1790000,8,121
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Venice,AZ,P,1790000,8,122
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Florence,AZ,P,1790000,8,123
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Tivoli,AZ,P,1790000,8,124
125******52.115,12/4/16,MD,MDATP1007C12,1/1/17,Asia,Thailand,Bangkok,7C12,P,619000,5,125
125******52.115,12/4/16,MD,MDATP1007C12,1/1/17,Asia,Thailand,Pattaya,7C12,P,619000,5,126
125******52.115,12/4/16,MD,MDATP1007C12,2/1/17,Asia,Thailand,Bangkok,7C12,P,589000,5,127
125******52.115,12/4/16,MD,MDATP1007C12,2/1/17,Asia,Thailand,Pattaya,7C12,P,589000,5,128
125******52.115,12/4/16,MD,MDATP1007C12,1/4/17,Asia,Thailand,Bangkok,7C12,P,689000,5,129
125******52.115,12/4/16,MD,MDATP1007C12,1/4/17,Asia,Thailand,Pattaya,7C12,P,689000,5,130
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,Swiss,Lucerne,AZ,P,1890000,8,131
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,Swiss,Interlaken,AZ,P,1890000,8,132
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,France,Paris,AZ,P,1890000,8,133
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,Italy,Rome,AZ,P,1890000,8,134
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,Italy,Milan,AZ,P,1890000,8,135
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,Italy,Venice,AZ,P,1890000,8,136
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,Italy,Florence,AZ,P,1890000,8,137
223******4.206,12/4/16,KR,KR150201139AZ,12/20/16,Europe,Italy,Tivoli,AZ,P,1890000,8,138
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Swiss,Lucerne,AZ,P,1790000,8,139
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Swiss,Interlaken,AZ,P,1790000,8,140
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,France,Paris,AZ,P,1790000,8,141
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Rome,AZ,P,1790000,8,142
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Milan,AZ,P,1790000,8,143
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Venice,AZ,P,1790000,8,144
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Florence,AZ,P,1790000,8,145
223******4.206,12/4/16,KR,KR150201139AZ,12/19/16,Europe,Italy,Tivoli,AZ,P,1790000,8,146
1.2******35,12/4/16,HN,HNCHA823ZE8,12/28/16,Asia,Hong Kong,Hong Kong,ZE8,F,642100,3,147
223******4.206,12/4/16,HJ,HJKW45186KE9,12/22/16,Middle East,United Arab Emirates,Dubai,KE9,P,1490000,6,148
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Netherlands,Amsterdam,KE,P,1690000,7,149
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Germany,Cologne,KE,P,1690000,7,150
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Germany,Aachen,KE,P,1690000,7,151
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Luxembourg,Luxembourg,KE,P,1690000,7,152
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Belgium,Brussels,KE,P,1690000,7,153
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,France,Paris,KE,P,1690000,7,154
218******4.129,12/4/16,MD,MDAVP6037C1O,12/23/16,Asia,Vietnam,Danang,7C1O,P,649000,5,155
218******4.129,12/4/16,MD,MDAVP6037C1O,12/23/16,Asia,Vietnam,Hoi An,7C1O,P,649000,5,156
218******4.129,12/4/16,MD,MDAVP6037C1O,12/23/16,Asia,Vietnam,Hue,7C1O,P,649000,5,157
1.2******35,12/4/16,JU,JUSDP702KE1,1/1/17,Oceania and Pacific Islands,New Zealand,Rotorua,KE1,P,3190000,10,158
1.2******35,12/4/16,JU,JUSDP702KE1,1/1/17,Oceania and Pacific Islands,New Zealand,Auckland,KE1,P,3190000,10,159
1.2******35,12/4/16,JU,JUSDP702KE1,1/1/17,Oceania and Pacific Islands,New Zealand,Queenstown,KE1,P,3190000,10,160
1.2******35,12/4/16,JU,JUSDP702KE1,1/1/17,Oceania and Pacific Islands,New Zealand,Christchurch,KE1,P,3190000,10,161
1.2******35,12/4/16,JU,JUSDP702KE1,1/1/17,Oceania and Pacific Islands,Australia,Sydney,KE1,P,3190000,10,162
1.2******35,12/4/16,JU,JUSDP702KE1,1/8/17,Oceania and Pacific Islands,New Zealand,Rotorua,KE1,P,3190000,10,163
1.2******35,12/4/16,JU,JUSDP702KE1,1/8/17,Oceania and Pacific Islands,New Zealand,Auckland,KE1,P,3190000,10,164
1.2******35,12/4/16,JU,JUSDP702KE1,1/8/17,Oceania and Pacific Islands,New Zealand,Queenstown,KE1,P,3190000,10,165
1.2******35,12/4/16,JU,JUSDP702KE1,1/8/17,Oceania and Pacific Islands,New Zealand,Christchurch,KE1,P,3190000,10,166
1.2******35,12/4/16,JU,JUSDP702KE1,1/8/17,Oceania and Pacific Islands,Australia,Sydney,KE1,P,3190000,10,167
223******.110,12/4/16,MD,MDAVP6037C1O,1/26/17,Asia,Vietnam,Danang,7C1O,P,1249000,5,168
223******.110,12/4/16,MD,MDAVP6037C1O,1/26/17,Asia,Vietnam,Hoi An,7C1O,P,1249000,5,169
223******.110,12/4/16,MD,MDAVP6037C1O,1/26/17,Asia,Vietnam,Hue,7C1O,P,1249000,5,170
223******.110,12/4/16,MD,MDAVP6037C1O,1/27/17,Asia,Vietnam,Danang,7C1O,P,1149000,5,171
223******.110,12/4/16,MD,MDAVP6037C1O,1/27/17,Asia,Vietnam,Hoi An,7C1O,P,1149000,5,172
223******.110,12/4/16,MD,MDAVP6037C1O,1/27/17,Asia,Vietnam,Hue,7C1O,P,1149000,5,173
223******.110,12/4/16,MD,MDAVP6037C1O,1/28/17,Asia,Vietnam,Danang,7C1O,P,749000,5,174
223******.110,12/4/16,MD,MDAVP6037C1O,1/28/17,Asia,Vietnam,Hoi An,7C1O,P,749000,5,175
223******.110,12/4/16,MD,MDAVP6037C1O,1/28/17,Asia,Vietnam,Hue,7C1O,P,749000,5,176
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Netherlands,Amsterdam,KE,P,1690000,7,177
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Germany,Cologne,KE,P,1690000,7,178
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Germany,Aachen,KE,P,1690000,7,179
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Luxembourg,Luxembourg,KE,P,1690000,7,180
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,Belgium,Brussels,KE,P,1690000,7,181
223******4.206,12/4/16,KR,KR150201549KE,12/20/16,Europe,France,Paris,KE,P,1690000,7,182
223******4.206,12/4/16,HJ,HJKW18948KE6,12/19/16,Asia,Hong Kong,Hong Kong,KE6,P,1190000,3,183
223******.110,12/4/16,HN,HNAPP1005J2,1/26/17,Asia,Philippines,Manila,5J2,P,659000,4,184
223******4.206,12/4/16,HN,HNCHP821OZA,12/18/16,Asia,Macau,Macau,OZA,P,899000,4,185
223******4.206,12/4/16,HN,HNCHP821OZA,12/18/16,Asia,Hong Kong,Hong Kong,OZA,P,899000,4,186
223******.110,12/4/16,HN,HNAVP100ZEA,1/26/17,Asia,Vietnam,Hanoi,ZEA,P,1249000,5,187
223******.110,12/4/16,HN,HNAVP100ZEA,1/26/17,Asia,Vietnam,Halong Bay,ZEA,P,1249000,5,188
223******.110,12/4/16,HN,HNABP100LJB,1/25/17,Asia,Thailand,Phuket,LJB,P,883000,5,189
223******.110,12/4/16,HN,HNABP100LJB,1/26/17,Asia,Thailand,Phuket,LJB,P,1333000,5,190
223******.110,12/4/16,HN,HNAAP101ZEB,1/26/17,Asia,Thailand,Bangkok,ZEB,P,1150000,5,191
223******.110,12/4/16,HN,HNAAP101ZEB,1/26/17,Asia,Thailand,Pattaya,ZEB,P,1150000,5,192
223******.110,12/4/16,HN,HNAAP101ZEB,12/19/16,Asia,Thailand,Bangkok,ZEB,P,750000,5,193
223******.110,12/4/16,HN,HNAAP101ZEB,12/19/16,Asia,Thailand,Pattaya,ZEB,P,750000,5,194
223******.110,12/4/16,HN,HNAVP100ZEA,1/26/17,Asia,Vietnam,Hanoi,ZEA,P,1249000,5,195
223******.110,12/4/16,HN,HNAVP100ZEA,1/26/17,Asia,Vietnam,Halong Bay,ZEA,P,1249000,5,196
223******.110,12/4/16,HN,HNAVP100ZEA,1/27/17,Asia,Vietnam,Hanoi,ZEA,P,1149000,5,197
223******.110,12/4/16,HN,HNAVP100ZEA,1/27/17,Asia,Vietnam,Halong Bay,ZEA,P,1149000,5,198
121******50.34,12/4/16,MD,MDAME703ZETP,12/19/16,Asia,Malaysia,Kota Kinabalu,ZETP,P,679000,5,199
223******.110,12/4/16,MD,MDATP1027CH2,1/26/17,Asia,Thailand,Bangkok,7CH2,P,1329000,5,200
223******.110,12/4/16,MD,MDATP1027CH2,1/26/17,Asia,Thailand,Pattaya,7CH2,P,1329000,5,201
223******4.206,12/4/16,MD,MDBDP902BXGS,12/18/16,Asia,Taiwan,Taipei,BXGS,P,599000,4,202
223******4.206,12/4/16,MD,MDBDP902BXGS,12/18/16,Asia,Taiwan,Harien,BXGS,P,599000,4,203
223******4.206,12/4/16,JU,JUJHP369OZ1,12/18/16,Asia,Japan,Noboribetsu,OZ1,P,949000,4,204
223******4.206,12/4/16,JU,JUJHP369OZ1,12/18/16,Asia,Japan,Otaru,OZ1,P,949000,4,205
223******4.206,12/4/16,JU,JUJHP369OZ1,12/18/16,Asia,Japan,Chitose,OZ1,P,949000,4,206
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Monaco,Monaco,EK3,P,1320000,9,207
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,France,Nice,EK3,P,1320000,9,208
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,France,Eze,EK3,P,1320000,9,209
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Italy,Neapolitan,EK3,P,1320000,9,210
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Italy,Rome,EK3,P,1320000,9,211
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Italy,Milan,EK3,P,1320000,9,212
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Italy,Venice,EK3,P,1320000,9,213
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Italy,Pompeii,EK3,P,1320000,9,214
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Italy,Florence,EK3,P,1320000,9,215
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Europe,Italy,Pisa,EK3,P,1320000,9,216
223******4.206,12/4/16,JU,JUEWP380EK3,12/20/16,Middle East,United Arab Emirates,Dubai,EK3,P,1320000,9,217
223******4.206,12/4/16,JU,JUSAP337KE1,12/18/16,Oceania and Pacific Islands,Australia,Brisbane,KE1,P,1949000,6,218
223******4.206,12/4/16,JU,JUSAP337KE1,12/18/16,Oceania and Pacific Islands,Australia,Sydney,KE1,P,1949000,6,219
121******50.34,12/4/16,LT093,LT0937496AAARS,12/19/16,Asia,Malaysia,Kota Kinabalu,RS,P,699000,5,220
1.2******.207,12/4/16,HN,HNHHB200LJ,1/26/17,North America,USA,Hawaii,LJ,F,1990000,6,221
175******84.116,12/4/16,HN,HNABP100LJB,12/23/16,Asia,Thailand,Phuket,LJB,P,693000,5,222
1.2******.13,12/4/16,HN,HNAPP1005J2,1/19/17,Asia,Philippines,Manila,5J2,P,319000,4,223
1.2******.13,12/4/16,HN,HNAPP1005J2,1/11/17,Asia,Philippines,Manila,5J2,P,469000,4,224
175******84.116,12/4/16,HN,HNAMP104LJA,12/23/16,Asia,Malaysia,Kota Kinabalu,LJA,P,679000,5,225
175******6.169,12/4/16,LT052,LT0527476AAAAC,12/31/16,North America,Canada,Yellow knife,AC,P,3330000,7,226
175******6.169,12/4/16,LT052,LT0527476AAAAC,12/31/16,North America,Canada,Vancouver,AC,P,3330000,7,227
223******9.203,12/4/16,HN,HNAAP101ZEB,12/29/16,Asia,Thailand,Bangkok,ZEB,P,870000,5,228
223******9.203,12/4/16,HN,HNAAP101ZEB,12/29/16,Asia,Thailand,Pattaya,ZEB,P,870000,5,229
175******84.116,12/4/16,HN,HNAMP104LJA,12/22/16,Asia,Malaysia,Kota Kinabalu,LJA,P,679000,5,230
223******4.206,12/4/16,HJ,HJKW18922KE6,12/18/16,Asia,Hong Kong,Hong Kong,KE6,P,699000,3,231
175******84.116,12/4/16,LT091,LT0917479AAATW,12/22/16,Asia,Japan,Nagasaki,TW,P,529000,3,232
175******84.116,12/4/16,LT091,LT0917479AAATW,12/22/16,Asia,Japan,Fukuoka,TW,P,529000,3,233
175******84.116,12/4/16,LT091,LT0917479AAATW,12/22/16,Asia,Japan,Saga,TW,P,529000,3,234
